[];0;0;(1, 1);[1, 3.144, 1.286, 4, 0.286, 1.286, 2.286];Greedy Algorithm
[];0;0;(1, 1);[2, 3.286, 0.286, 1, 1, 2, 3];Minimax Algorithm
[(1, 1)];0;0;(1, 5);[1, 4.167, 2.5, 1, 3.333, 2.6660000000000004, 0];Greedy Algorithm
[(1, 1), (1, 5)];2;2;(1, 6);[2.333, 4.286, 0.952, 1.333, 1.666, 3.6660000000000004, 4.332];Minimax Algorithm
[(6, 1), (1, 1), (1, 5)];2;2;(0, 5);[2.8000000000000003, 5.167, 3.7, 2.2, 3.9330000000000003, 2.6660000000000004, 3.4000000000000004];Greedy Algorithm
[(6, 1), (1, 1), (1, 5), (5, 0)];2;2;(6, 6);[4.2, 4.286, 1.419, 1.7999999999999998, 1.733, 4.666, 4.6];Minimax Algorithm
[(6, 6), (6, 1), (1, 1), (1, 5), (5, 0)];1;2;(5, 6);[4.2, 4.286, 1.286, 1.7999999999999998, 1.6, 4.4, 4.6];Minimax Algorithm
[(5, 6), (6, 6), (6, 1), (1, 1), (1, 5), (5, 0)];1;2;(3, 5);[4.2, 4.286, 1.8860000000000001, 3.2, 2.2, 4.4, 4.8];Minimax Algorithm
[(1, 3), (3, 5), (5, 6), (6, 6), (6, 1), (1, 1), (1, 5), (5, 0)];1;2;(0, 1);[4.2, 5.25, 1.85, 4.2, 2.2, 4.4, 4.8];Minimax Algorithm
[(1, 3), (3, 5), (5, 6), (6, 6), (6, 1), (1, 1), (1, 5), (5, 0), (0, 1), (1, 4)];0;1;(0, 4);[5.0009999999999994, 6.0, 1.867, 4.467, 3.2, 4.4, 5.067];Minimax Algorithm
[];0;1;(2, 2);[1.286, 2.286, 4.144, 2.286, 1.286, 1, 3];Minimax Algorithm
[(2, 2)];2;2;(2, 6);[1.572, 2.286, 4.144, 2.572, 1.286, 1.286, 3.858];Minimax Algorithm
[(2, 2), (2, 6)];2;2;(6, 6);[2.8, 2.4, 3.6, 1.7999999999999998, 1.4, 4.4, 3.1999999999999997];Greedy Algorithm
[(2, 2), (2, 6), (6, 6)];1;2;(1, 6);[1.619, 2.666, 4.332, 2.619, 1.666, 1.286, 4.8580000000000005];Minimax Algorithm
[(2, 2), (2, 6), (6, 6), (6, 1)];1;2;(1, 5);[2.9, 3.5, 4.0, 1.9, 1.75, 4.5, 4.05];Greedy Algorithm
[(2, 2), (2, 6), (6, 6), (6, 1), (1, 5)];1;1;(2, 5);[1.686, 3.7329999999999997, 4.6, 2.686, 1.733, 2.286, 4.8580000000000005];Minimax Algorithm
[];0;0;(1, 1);[3, 3.572, 1, 0.286, 2, 2, 1.286];Minimax Algorithm
[(1, 1)];0;0;(1, 2);[1, 3.6660000000000004, 3.6660000000000004, 3.333, 1, 1.333, 2.666];Greedy Algorithm
[(1, 1), (1, 2)];2;1;(0, 2);[3.6660000000000004, 4.334, 2, 0.5, 2, 2, 1.5];Minimax Algorithm
[(1, 1), (1, 2), (2, 0)];2;1;(0, 1);[2, 3.8, 4.666, 3.4, 1, 1.333, 2.733];Greedy Algorithm
[(1, 1), (1, 2), (2, 0), (0, 1)];2;2;(1, 4);[4.666, 5.4, 2, 0.933, 3.1999999999999997, 2.4, 1.933];Minimax Algorithm
[(1, 1), (1, 2), (2, 0), (0, 1), (1, 4)];2;2;(2, 4);[2, 4.5, 4.5, 3.25, 2, 1.25, 2.5];Greedy Algorithm
[(1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];1;0;(1, 5);[4.666, 5.4, 4.0, 1.433, 4.3, 3.5, 2.433];Minimax Algorithm
[(5, 1), (1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];1;0;(5, 6);[2.667, 5.917, 4.666, 3.25, 2.667, 2.333, 4.334];Greedy Algorithm
[(6, 5), (5, 1), (1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];1;0;(6, 6);[5.0, 5.867, 4.334, 1.433, 4.567, 4.667, 4.668];Minimax Algorithm
[(6, 6), (6, 5), (5, 1), (1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];1;0;(3, 6);[3.667, 6.667, 5.0, 7.0, 3.667, 3.5, 5.501];Greedy Algorithm
[(3, 6), (6, 6), (6, 5), (5, 1), (1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];0;0;(3, 3);[3.667, 6.667, 5.0, 7.0, 3.667, 3.5, 5.501];Greedy Algorithm
[(3, 3), (3, 6), (6, 6), (6, 5), (5, 1), (1, 1), (1, 2), (2, 0), (0, 1), (1, 4), (4, 2)];0;0;(2, 3);[3.667, 6.667, 5.0, 7.0, 3.667, 3.5, 5.501];Greedy Algorithm
[];0;0;(1, 1);[2.286, 2.286, 1, 2, 3, 0, 1];Minimax Algorithm
[(1, 1)];0;0;(1, 6);[1.167, 5.167, 2.333, 1.333, 2, 2.333, 2.999];Greedy Algorithm
[(1, 1), (1, 6)];1;1;(1, 4);[2.286, 3.286, 1.333, 2.333, 3.333, 0.666, 2.9990000000000006];Minimax Algorithm
[(4, 1), (1, 1), (1, 6)];1;1;(4, 6);[1.167, 6.167, 2.333, 1.333, 3.4, 2.733, 2.999];Greedy Algorithm
[(4, 1), (1, 1), (1, 6), (6, 4)];2;2;(3, 4);[2.686, 3.286, 1.7329999999999999, 3.5999999999999996, 4.2, 0.933, 4.066];Minimax Algorithm
[(4, 1), (1, 1), (1, 6), (6, 4), (4, 3)];2;2;(2, 4);[2.167, 6.167, 4.0, 4.0, 4.4, 3.733, 3.333];Greedy Algorithm
[(2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3)];1;1;(2, 2);[3.286, 3.286, 4.0, 4.0, 5.2, 1.533, 4.333];Minimax Algorithm
